Title,Description
"Senior FullStack Developer (Python + JavaScript), Financial Software Tools","<b>Client</b><br>Our client US-based world-leading financial analytics, data services, and trading platform company. The client is renowned for their cutting-edge fintech solutions. You will work inside of the client's Agile ecosystem with one of the multinational Scrum teams.<br><br><b>Position Overview</b><br><br><br><b>Technology Stack</b><br>Python, React, PostgreSQL<br><br><b>Requirements</b><br>- 4+ years of full-stack experience primarily with Python and JavaScript (React) or (Angular)<br>- Experience with PostgreSQL<br>- Experience working with Restful API development<br>- Experience in building architecture for an application, microservices architecture<br>- Knowledge of related technologies: HTML5, CSS<br>- Understanding SDLC development methodologies<br>- Knowledge of code testing methods (including BDD, and TDD)<br>- Experience in collecting and documenting technical requirements, creating products based on these requirements<br>- Strong team player in a flat-structured, highly collaborative, Agile environment<br>- Algorithm tasks solving experience<br>- Working proficiency and communication skills in verbal and written English<br><br><b>Nice to have</b><br>- Experience using modern technologies for building and testing pipelines<br>- Knowledge of testing tools and frameworks"
Full Stack React (20%) + Python (80%),"Key Responsibilities:<br><br>Backend Development: Design, develop, and maintain high-performance backend systems and APIs using the latest technologies and best practices.<br>Infrastructure as Code (IaC): Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.<br>Cloud Services: Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.<br>Performance Optimization: Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.<br>Security: Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.<br>Database Management: Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.<br>Qualifications:<br><br>Bachelor's degree in Computer Science, Software Engineering, or a related field (Master's preferred).<br>3+ years of strong technical background with expertise in relevant programming languages and technologies: React (20%) work and Python 80%<br>Proven experience in backend development, infrastructure design, and management.<br>Strong knowledge of cloud computing platforms and infrastructure automation tools.<br>Experience with containerization and orchestration technologies (e.g., Docker, Kubernetes).<br>Solid understanding of database systems (SQL and NoSQL) and data modeling.<br>Strong problem-solving skills and the ability to work in a collaborative, cross-functional team environment.<br>Excellent communication skills to convey complex technical concepts to non-technical stakeholders."
Python Integration Engineer,"What qualifications and background are we looking for?<br><br>A Bachelor of Science degree in Computer Science, Software Engineering, or equivalent practical experience is a must!<br>Proficiency in the Python ecosystem with at least 2.5 to 3.5 years of experience.<br>Prior experience working with REST/GQL APIs.<br>Familiarity with development in distributed systems, including knowledge of K8S, Docker, and containers.<br>Having worked as an integration engineer, extracting data from APIs, is a definite advantage.<br>A strong candidate is someone who is responsible, thorough, proactive, and collaborative.<br>It would be highly beneficial if you also possess:<br><br>Previous experience in startup environments.<br>Experience at a company recognized for its engineering excellence.<br>Familiarity with modern CI/CD development practices and tools."
Python developer,"We are looking for current skills:<br>• +4 years of commercial experience with Python<br>• Experience with Django and Flask<br>• Experience with MySQL or PostgreSQL<br><br>That's what you should do:<br>- Work directly with the core development team<br>- Implement new and maintain existing web features and solutions<br>- Review existing code and recommend refactoring where applicable<br>- Research and solve problems using internet search, vendor support, and other external resources<br>- Perform all the necessary tasks efficiently meeting deadlines<br>- Fill in the tracking systems of the client and the company<br><br>Is good to have:<br>- Understanding of OOP concepts<br>- Understanding of coding algorithms such as recursion, data transformation, and manipulation<br>- Good English speaking<br>- Experience in SSR<br><br>That's what we offer to you:<br>- Fast growth of seniority level with a unique plan<br>- Ability to work remotely, flexible working hours<br>- Education (courses, training materials, etc.)<br>- 12 days of paid vacation and 12 days of sick leave<br>- State holidays, according to the legislation of Ukraine<br><br>So please don't waste your time, write to us and let's create some cool things together! :)"
Senior Full-Stack Developer Developer (Python + VueJs),"<b>Responsibilities</b><br>• Organize and execute Technical field trials;<br>• Provide Field trials support and interpret field trial results;<br>• Establish and maintain close working relations with key interfacing areas of the business, managing customer affecting issues to resolution where relevant;<br>• Work proactively with central and country stakeholders to ensure the smooth, successful and timely implementation of upgrades and/or new technology within the Entertainment platforms (pre-production and/or production);<br>• Communication towards internal customers on solution & timelines;<br>• Produce timely and accurate business reports and reviews and be compliant with all internal reporting requirements;<br>• Drive standardization of tools and processes around the CPE trials and mass rollout across the footprint;<br><br><b>Requirements</b><br>• 5+ years of overall development experience using Python;<br>• 3+ years of experience years working with JS and VueJs;<br>• Built in: create optimized Python code to manipulate dataset and apply the best data structure matching the requirements;<br>• Standard library;<br>• Iterators;<br>• Creation of generator to build and maintain ETL pipelines while keeping memory usage to the minimum;<br>• Context manager; <br>• Create, deploy and maintain async code to collect big dataset from external resources within a specific time constraints;<br>• Intermediate/Upper English level.<br><br>Frameworks:<br>• Flask;<br>• FastAPI:<br>• Functional programming;<br>• Good understanding of Event-driven architecture;<br>• Testing framework / Unit testing / Pytest;<br><br><b>Technology</b><br>• In depth knowledge of Git: Create branches, merge them, resolve conflicts, and all other related tasks w.r.t. having a shared code base;<br>• In depth knowledge or Nginx: Able to troubleshoot routing issue<br>• Good understanding of unix service management:<br>Creation, update of unit/timer files<br>Able to find running or failing services<br>• Service template creation;<br>• In depth knowledge of Influxdb: <br>Create Continuous queries to downsample dataset<br>Create optimized query for big datasets;<br>• Neo4j<br>• MySQL<br>• Redis<br>• Docker<br><br><b>About the project</b><br>The project will be taking 2+ years and the main goal is to update and deploy all new software on set top boxes for cable companies around Europe. Any video streaming through any portal will be processed through this project. Team size of teams are on average 6 people including PO. <br><br>The teams are distributed over Europe and Asia, and there is a core team working from the HQ in Amsterdam. In this case, we are looking for a Senior Full-Stack Developer.<br><br><br><b>What we offer</b><br>- Zero bureaucracy and flat management structure: CEO and Teams, that’s all;<br>- Competitive compensation;<br>- We are remote native (before, during, and after covid19);<br>- Friendly team and a nice environment;<br>- Regular team-building parties."
Middle+ Python Developer,"WeSoftYou creates web and mobile solutions and custom B2B and B2C applications for various industries and business areas, including Healthcare, e-Learning, Retail, Web3, Fintech, and Adtech.<br><br>We are looking for a Middle Software Engineer to join our tech team!<br><br>👉 Required skills:<br><br>— 4+ years of commercial experience with Python;<br>— 3+ years of commercial experience with Django and Django REST Framework;<br>— Experience with Celery or any other async task queue;<br>— Proficient experience with SQL Databases (PostgreSQL, etc.);<br>— Experience with Docker and docker-compose;<br>— Upper-Intermediate+ level of English.<br><br>👉 As a plus:<br><br>— Experience with AWS or any other cloud solutions + LangChain;<br>— Knowledge of the Microservices Architecture.<br><br>👉 Responsibilities:<br><br>— Develop new features in the project;<br>— Write reusable, testable code;<br>— Reviewing the code of teammates;<br>— Reviewing your implemented code in the dev environment;<br>— Participate in the grooming process;<br>— Participate in the estimation process.<br><br>👉 What we offer:<br><br>🎁 Benefits program:<br><br>— 18 working days of fully paid vacation, 5 days compensated sick leaves;<br>— Coverage of taxes and free tax reporting support by our Financial department;<br>— Help with individual entrepreneurs’ questions and accounting support<br>financial aid and additional days off for various occasions (e.g. marriage, childbirth, etc);<br>— Internal educational events (WeThursdayYou);<br>— Regular company updates from the CEO (Friday letter).<br><br>😌 Comfortable Working conditions:<br><br>— Flexible working hours;<br>—Provision of required equipment;<br>—Hybrid working model (remote or from a cozy office in the Kyiv center);<br><br>👥 Community:<br><br>To build community among our employees we keep going with:<br><br>— Various corporate events (psychological training, based on employees’ needs to care about mental health, New Year celebration, summer party, team buildings, etc.);<br>— Celebration of important personal and project milestones (project successes, B-days, anniversaries);<br>— Open door culture (regular one-two-one meetings with HR/PM/Manager)<br>morning online sports activities for all team members to care about physical health;<br>— Support of team members during russian aggression (evacuation, safe accommodation in Western Ukraine, financial support for those who joined Armed Forces, donations, etc.)."
Senior Python developer (з розумінням бухг. аудиту) в Американський проект,"Компанія Software Development Hub шукає Python developer для розширення своєї команди.<br><br>🧠 Зараз йде активна розробка над американським проєктом FieldHub - це SaaS платформа, яка об'єднає різні функції для спрощення управління бізнесом. Система контролює мобільні сервіси, дії персоналу, бази даних клієнтів і пропозицій, обіг обладнання і доходів.<br>Вимоги: досвід роботи з Django від 3-х років, БД (PostgreSQL) та розуміння бухгалтерії або досвідом розробки CRM системи."
Senior Python Developer,"Ми шукаємо Senior Python Developer,котрий буде працювати з різноманітними задачами, які направлені на розвиток нового функціоналу та створення нових продуктів.<br><br><b>Чим ви будете займатися?</b><br>- Співпрацювати з командою розробки та створювати мікросервіси для фінтех-додатка котрим будуть користуватися реальні користувачі;<br>- Проектувати архітектуру та реалізовувати нові мікросервіси з нуля;<br>- Вибирати та впроваджувати необхідні інструменти та технології;<br>- Писати оптимізований код.<br><br><b>Наші очікування:</b><br>- Маєте 4-5 років досвіду роботи з Python;<br>- Маєте знання найкращих практик проєктування та архітектурних паттернів;<br>- Маєте практичний досвід розробки архітектури мікросервісів;<br>- Маєте досвід роботи з SQL/NoSQL базами даних (PostgreSQL, MongoDB);<br>- Маєте досвід асинхронного програмування;<br>- Маєте досвід роботи з Celery та досвід роботи з чергами повідомлень (по типу RabbitMQ);<br>- Маєте практичний досвід роботи з FastAPI або Flask;<br>- Маєте розуміння принципів CI/CD та їх використання.<br><br><b>Що ми пропонуємо?</b><br>- Віддалений формат роботи, або за бажанням можна працювати в офісі (Київ)<br>- Офіс у районі м. Палац України (є безкоштовний shuttle bus від метро до офісу)<br>- Гнучкий графік роботи<br>- Оплачувану відпустку та лікарняні<br>- Надаємо необхідну робочу техніку<br>- Роботу в сильній команді, легку та дружню робочу атмосферу<br>- Складні задачі, постійний професійний розвиток і навчання новому<br>- Ми завжди раді новим ідеям, тому у тебе буде можливість впливати на продукти та процеси"
Full-Stack Python Developer,"A few facts about us:<br>- Technical stack of our team: JS (React and Node) and Java, Golang, PHP, Python and others<br><br>- Whereas our business model is outstaff, we offer a search for a project that matches not only the developer's stack but also matches his interests<br><br>- Our developers are involved in long-term projects in the fields of Fintech, Healthcare, Education, E-commerce, SaaS, etc. We do not consider projects in the Betting, Gambling, Adult content, and similar domains<br><br>- Each of our developers is involved only in one project (full-time)<br><br>- Our current clients are from the USA and Europe<br><br>- This year we hope to grow up, regardless of the conditions, and organize the work of outsourcing teams<br><br>- Hostilities did not affect the stability of our company: not a single dismissed person, not a single reduction in the rate or other payments because of war, the terms of payment of salaries have not shifted. The founders are optimistic about the future, so our team continues to grow.<br><br>What we offer for your success:<br>+ Competitive salary and regular performance reviews<br>+ The ability to focus on your work: a lack of bureaucracy and micromanagement<br>+ No unpaid overtimes<br>+ Timely salary payment<br>+ 50% compensation for English courses (if it’s needed)<br>+ 20 paid days off<br>+ Adaptation period of 2 months<br><br>About your responsibilities:<br>No long descriptions are needed: every developer knows his tasks while on a project. The specific list of tasks will depend on the project, of course.<br><br>What you need for this position:<br>- Your own equipment (laptop or PC);<br>- At least 3+ years of professional software development experience with Python (not freelance!);<br>- Good experience with React (2-3 years);<br>- Good knowledge of JavaScript and TypeScript;<br>- Experience with cloud technologies Azure, AWS;<br>- At least an Upper-Intermediate level of English;<br>- Focus on simplicity and quality;<br>- Excellent problem-solving skills;<br>- Good communication skills.<br><br>If you have any questions about this job post, please feel free to ask.<br>Contact us and become a valuable part of the People-First team."
